order_id,customer_id,product_id,order_date,quantity
1001,1,101,2023-01-15,2
1002,1,107,2023-01-28,1
1003,2,103,2023-05-12,5
1004,2,109,2023-08-20,2
1005,3,111,2024-02-14,1
1006,4,116,2024-04-10,1
1007,5,121,2022-06-05,2
1008,6,102,2024-07-22,3
1009,7,126,2022-09-18,5
1010,8,131,2023-12-01,4
1011,9,136,2021-11-11,1
1012,10,143,2024-03-05,2
1013,11,146,2022-08-15,1
1014,12,104,2023-06-25,4
1015,13,112,2021-10-02,2
1016,14,117,2024-05-18,1
1017,15,122,2022-12-10,1
1018,16,127,2023-11-05,2
1019,17,132,2022-01-20,3
1020,18,137,2024-08-14,1
1021,19,144,2022-05-22,2
1022,20,147,2023-10-30,2
1023,21,105,2022-03-12,1
1024,22,108,2024-09-08,4
1025,23,113,2022-07-25,3
1026,24,118,2023-09-15,1
1027,25,123,2021-08-08,2
1028,26,128,2024-10-12,1
1029,27,133,2023-01-05,4
1030,28,138,2024-01-25,6
1031,29,145,2021-06-30,1
1032,30,148,2024-11-20,3
1033,31,106,2022-10-18,1
1034,32,110,2023-04-12,2
1035,33,114,2021-04-22,4
1036,34,119,2024-12-05,1
1037,35,124,2022-11-28,2
1038,36,129,2023-03-16,3
1039,37,134,2021-02-14,5
1040,38,139,2025-01-10,1
1041,39,140,2022-12-25,2
1042,40,141,2023-07-08,1
1043,41,142,2021-05-19,3
1044,42,149,2025-02-15,1
1045,43,150,2022-08-30,2
1046,44,101,2023-09-22,1
1047,45,107,2021-09-10,1
1048,46,115,2025-05-12,1
1049,47,120,2022-04-05,1
1050,1,103,2026-02-10,1
